function	runtime_calls	sql_refs	trigger_refs	granted_anon_auth	risk_tier
accept_recruiting_lead	1	0	0	0	keep
add_to_read_by	1	0	0	0	keep
admin_approve_user	0	0	0	0	candidate-high
admin_delete_domain	0	0	0	0	candidate-high
admin_deleteuser	2	1	0	6	keep
admin_deny_user	0	0	0	0	candidate-high
admin_get_allusers	4	0	0	1	keep
admin_get_pending_users	0	0	0	0	candidate-high
admin_get_user_by_id	0	0	0	0	candidate-high
admin_get_user_profile	0	0	0	0	candidate-high
admin_set_admin_role	1	0	0	0	keep
admin_set_pending_user	0	0	0	0	candidate-high
admin_update_domain_status	6	0	0	0	keep
admin_update_user	0	0	0	0	candidate-high
approve_acceptance_rule	0	0	0	1	external-risk
approve_agency_request	1	2	0	0	keep
approve_join_request	1	0	0	0	keep
approve_underwriting_rule_set	1	0	0	0	keep
assign_user_role	0	0	0	0	candidate-high
award_training_xp	0	0	0	0	candidate-high
build_agency_org_chart	0	5	0	1	keep
build_agent_downline_tree	0	6	0	1	keep
build_agent_org_chart	0	1	0	1	keep
build_imo_org_chart	0	1	0	1	keep
calculate_chargeback_on_policy_lapse	0	1	0	0	keep
calculate_client_age	0	0	0	0	candidate-high
calculate_commission_advance	0	1	0	0	keep
calculate_earned_amount	0	0	0	0	candidate-high
calculate_months_paid	0	0	0	0	candidate-high
calculate_next_delivery	0	3	0	0	keep
calculate_next_run_time	0	0	0	0	candidate-high
calculate_premium	0	0	0	0	candidate-high
calculate_quiz_score	0	0	0	0	candidate-high
calculate_unearned_amount	0	0	0	0	candidate-high
can_manage_workflows	0	0	0	0	candidate-high
can_request_agency	0	0	0	0	candidate-high
can_run_uw_wizard	0	0	0	0	candidate-high
can_submit_join_request	1	0	0	0	keep
can_view_agent_details	0	0	0	0	candidate-high
can_workflow_run	1	0	0	0	keep
cancel_recruit_invitation	1	0	0	0	keep
cascade_agency_assignment	0	0	0	1	external-risk
check_and_update_milestones	0	0	0	1	external-risk
check_auth_identity	1	0	0	0	keep
check_email_exists	0	0	0	0	candidate-high
check_email_quota	0	0	0	0	candidate-high
check_first_seller_naming	0	0	0	3	external-risk
check_first_seller_naming_unified	0	0	0	2	external-risk
check_is_imo_admin	1	0	0	1	keep
check_module_completion	0	0	0	0	candidate-high
check_pending_invitation_exists	0	1	0	0	keep
check_team_size_limit	1	0	0	2	keep
check_training_badges	0	0	0	0	candidate-high
check_user_template_limit	0	0	0	0	candidate-high
check_workflow_email_rate_limit	0	0	0	1	external-risk
claim_instagram_jobs	0	0	0	0	candidate-high
cleanup_expired_evaluation_logs	0	0	0	0	candidate-high
cleanup_expired_invitations	0	0	0	1	external-risk
cleanup_instagram_jobs	0	0	0	0	candidate-high
cleanup_old_audit_logs	0	0	0	0	candidate-high
cleanup_old_reports	0	0	0	0	candidate-high
clone_org_template	1	0	0	1	keep
clone_pipeline_template	1	0	0	1	keep
complete_instagram_job	1	0	0	0	keep
complete_scheduled_delivery	2	0	0	0	keep
complete_training_lesson	1	0	0	0	keep
create_alert_notification_safe	0	0	0	0	candidate-high
create_alert_rule	1	0	0	1	keep
create_default_decision_tree_for_imo	0	3	0	0	keep
create_lead_from_instagram	0	0	0	1	external-risk
create_notification	0	0	0	4	external-risk
create_org_workflow_template	0	0	0	1	external-risk
create_recruit_invitation	2	0	0	1	keep
create_scheduled_report	1	0	0	0	keep
create_workflow_run	0	0	0	0	candidate-high
delete_alert_rule	1	0	0	1	keep
delete_orphan_identity	0	1	0	0	keep
delete_recruit	1	0	0	0	keep
duplicate_training_lesson	1	0	0	0	keep
email_subject_hash	0	0	0	1	external-risk
enqueue_instagram_job	4	0	0	0	keep
ensure_system_labels	0	0	0	1	external-risk
expire_instagram_scheduled_messages	0	0	0	1	external-risk
expire_old_invitations	0	0	0	0	candidate-high
fail_instagram_job	1	0	0	0	keep
generate_age_rules_from_products	0	0	0	1	external-risk
generate_global_knockout_rules	1	0	0	1	keep
get_active_decision_tree	0	0	0	1	external-risk
get_active_system_automations	1	0	0	0	keep
get_agencies_for_join	1	0	0	0	keep
get_agency_dashboard_metrics	1	3	0	7	keep
get_agency_descendants	0	21	0	1	keep
get_agency_hierarchy	0	11	0	1	keep
get_agency_leaderboard_data	1	5	0	11	keep
get_agency_metrics	1	1	0	1	keep
get_agency_override_summary	0	2	0	3	keep
get_agency_performance_report	0	0	0	4	external-risk
get_agency_production_by_agent	0	0	0	3	external-risk
get_agency_recruiting_summary	0	0	0	1	external-risk
get_agency_slack_credentials	0	0	0	0	candidate-high
get_agency_users_for_sms	0	0	0	1	external-risk
get_agency_weekly_production	0	0	0	3	external-risk
get_agent_contract_summary	0	0	0	0	candidate-high
get_agent_daily_stats	0	0	0	1	external-risk
get_alert_rule_history	1	0	0	1	keep
get_alertable_metrics	1	0	0	1	keep
get_all_agencies_submit_totals	3	4	0	3	keep
get_all_expense_categories	0	0	0	1	external-risk
get_approaching_deadline_items	0	0	0	0	candidate-high
get_at_risk_commissions	1	0	0	0	keep
get_audit_action_types	1	0	0	1	keep
get_audit_log_detail	1	0	0	1	keep
get_audit_logs	1	0	0	1	keep
get_audit_performers	1	0	0	1	keep
get_audit_tables	1	0	0	1	keep
get_available_imos_for_join	1	0	0	0	keep
get_available_knockout_codes	1	0	0	1	keep
get_carrier_acceptance	0	0	0	0	candidate-high
get_clients_with_stats	1	1	0	0	keep
get_commissions_for_threshold_check	0	0	0	0	candidate-high
get_current_user_hierarchy_path	0	1	0	1	keep
